Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.02     0.02                             std::string::size() const
 10.00      0.03     0.01     1546     0.01     0.01  environment_get_child(Scope*, std::string)
 10.00      0.04     0.01                             __gnu_cxx::__exchange_and_add(int volatile*, int)
 10.00      0.05     0.01                             __cxxabiv1::__si_class_type_info::__do_dyncast(int, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
 10.00      0.06     0.01                             std::string::find_last_of(char const*, unsigned int, unsigned int) const
 10.00      0.07     0.01                             std::string::_Rep::_M_destroy(std::allocator<char> const&)
 10.00      0.08     0.01                             std::string::append(std::string const&)
 10.00      0.09     0.01                             std::string::operator[](unsigned int)
 10.00      0.10     0.01                             __shmem_grabber_fc_key
  0.00      0.10     0.00  1493247     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.10     0.00  1326142     0.00     0.00  std::vector<Scope*, std::allocator<Scope*> >::operator[](unsigned int)
  0.00      0.10     0.00  1325092     0.00     0.00  std::vector<Scope*, std::allocator<Scope*> >::size() const
  0.00      0.10     0.00   298617     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.10     0.00   186139     0.00     0.00  std::_Vector_base<Class, std::allocator<Class> >::_M_get_Tp_allocator()
  0.00      0.10     0.00   180118     0.00     0.00  __gnu_cxx::new_allocator<Class>::~new_allocator()
  0.00      0.10     0.00   164016     0.00     0.00  __gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >::base() const
  0.00      0.10     0.00   162784     0.00     0.00  __gnu_cxx::__normal_iterator<Class const*, std::vector<Class, std::allocator<Class> > >::__normal_iterator(Class const* const&)
  0.00      0.10     0.00   151029     0.00     0.00  __gnu_cxx::new_allocator<Class>::new_allocator(__gnu_cxx::new_allocator<Class> const&)
  0.00      0.10     0.00   130972     0.00     0.00  Token&& std::forward<Token>(std::remove_reference<Token>::type&)
  0.00      0.10     0.00   119450     0.00     0.00  std::vector<Class, std::allocator<Class> >::size() const
  0.00      0.10     0.00   110076     0.00     0.00  Token* std::__addressof<Token>(Token&)
  0.00      0.10     0.00   104734     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Class*>(Class*, Class*)
